513.0 ;201
517.0 ;201
521.0 ;201
522.0 ;201
523.0 ;201
524.0 ;200
528.0 ;200
530.0 ;200
531.0 ;199
532.0 ;199
538.0 ;199
539.0 ;198
540.0 ;198
542.0 ;198
543.0 ;198
544.0 ;197
545.0 ;197
548.0 ;197
552.0 ;197
555.0 ;196
556.0 ;196
561.0 ;196
562.0 ;195
563.0 ;195
565.0 ;195
566.0 ;195
571.0 ;195
572.0 ;194
577.0 ;194
581.0 ;193
582.0 ;193
583.0 ;193
584.0 ;193
587.0 ;193
588.0 ;193
589.0 ;192
591.0 ;192
598.0 ;191
599.0 ;191
600.0 ;191
601.0 ;191
602.0 ;190
603.0 ;190
608.0 ;189
610.0 ;189
615.0 ;189
616.0 ;188
618.0 ;188
619.0 ;188
620.0 ;188
622.0 ;188
623.0 ;187
624.0 ;187
625.0 ;187
626.0 ;187
629.0 ;187
632.0 ;187
633.0 ;186
634.0 ;186
635.0 ;186
639.0 ;186
642.0 ;186
646.0 ;185
648.0 ;185
649.0 ;185
650.0 ;185
652.0 ;185
653.0 ;185
654.0 ;184
662.0 ;184
663.0 ;183
664.0 ;183
667.0 ;183
668.0 ;183
669.0 ;183
670.0 ;182
678.0 ;181
679.0 ;181
680.0 ;181
684.0 ;181
686.0 ;181
687.0 ;180
690.0 ;180
691.0 ;180
694.0 ;180
699.0 ;179
700.0 ;179
702.0 ;178
703.0 ;178
709.0 ;177
712.0 ;177
713.0 ;177
715.0 ;177
717.0 ;177
718.0 ;176
719.0 ;176
724.0 ;176
726.0 ;175
728.0 ;175
729.0 ;175
730.0 ;174
731.0 ;174
732.0 ;174
737.0 ;174
739.0 ;174
742.0 ;173
744.0 ;173
746.0 ;173
747.0 ;173
749.0 ;173
752.0 ;173
759.0 ;171
760.0 ;171
763.0 ;171
765.0 ;171
766.0 ;171
767.0 ;171
770.0 ;170
772.0 ;170
773.0 ;170
778.0 ;170
779.0 ;169
782.0 ;169
784.0 ;169
785.0 ;169
786.0 ;169
788.0 ;169
790.0 ;168
795.0 ;167
797.0 ;167
798.0 ;167
799.0 ;167
802.0 ;167
804.0 ;167
805.0 ;166
810.0 ;166
812.0 ;166
814.0 ;165
817.0 ;165
820.0 ;165
